20	0.099
25	0.186
30	0.293
35	0.412
40	0.54
45	0.675
50	0.815
55	0.958
60	1.099
65	1.238
70	1.374
75	1.508
80	1.641
85	1.773
90	1.905
95	2.036
100	2.166
110	2.42
120	2.663
130	2.891
140	3.106
150	3.312
160	3.509
170	3.693
180	3.858
190	4.007
200	4.145
210	4.275
220	4.397
230	4.514
240	4.624
250	4.727
260	4.825
270	4.917
280	5.002
290	5.083
298.16	5.15
